912828J2 Govt	US	US TREASURY N/B
EK354848 Corp	CA	CANADIAN GOVERNMENT
EJ901174 Corp	BZ	FED REPUBLIC OF BRAZIL
EJ846122 Corp	CO	REPUBLIC OF COLOMBIA
EK613894 Corp	MX	UNITED MEXICAN STATES
EK109396 Corp	EN	UK TSY 2 3/4% 2024
EK728902 Corp	FR	FRANCE (GOVT OF)
EK684154 Corp	GE	BUNDESREPUB. DEUTSCHLAND
EK457296 Corp	IT	BUONI POLIENNALI DEL TES
EK328970 Corp	SP	BONOS Y OBLIG DEL ESTADO
EK694341 Corp	PO	OBRIGACOES DO TESOURO
EK041769 Corp	SW	SWEDISH GOVERNMENT
EK141813 Corp	NE	NETHERLANDS GOVERNMENT
EJ749344 Corp	SZ	SWITZERLAND
EJ044539 Corp	GR	HELLENIC REPUBLIC
EK683602 Corp	JN	JAPAN (10 YR ISSUE)
EJ679130 Corp	AU	AUSTRALIAN GOVERNMENT
EI703520 Corp	NZ	NEW ZEALAND GOVERNMENT
EK462999 Corp	SK	KOREA TREASURY BOND
